id,titleAr,titleEn
67623c814df57a148dd45e13,بيانات المكتب الإعلامي,Press Releases of Media Office
67623c814df57a148dd45e17,بيان تهنئة,Statement of Congratulations
67623c814df57a148dd45e1b,بحوث إعلامية,Media Research
67623c814df57a148dd45e1f,دراسات إعلامية,Media Studies
67623c814df57a148dd45e23,مقالات إعلامية,Media Articles
67623c814df57a148dd45e27,فريق بحث المكتب الإعلامي,Research Team of the Media Office
67623c814df57a148dd45e2b,خبرٌ وتعليق,News and Commentary
67623c814df57a148dd45e2f,اجتماعات وزيارات,Meetings and Visits
67623c814df57a148dd45e33,الأخبار,News
67623c814df57a148dd45e37,فيديوهات,Videos
67623c814df57a148dd45e3b,منوعات,Miscellaneous
676241bf4df57a148dd45e3f,بيانات المكتب الاقتصادي,Press Release of Economic Office
676241bf4df57a148dd45e43,بحوث اقتصادية,Economic Research
676241bf4df57a148dd45e47,دراسات اقتصادية,Economic Studies
676241bf4df57a148dd45e4b,مقالات اقتصادية,Economic Articles
676241bf4df57a148dd45e4f,فريق بحث المكتب الاقتصادي,Research Team of the Economic Office
6762442f7187fe17ee8c5e4c,أوراق تيار المستقبل السوري,Papers of the Syrian Future Movement
6762445a7187fe17ee8c5e52,بيانات المكتب الديني,press release of Religious office
6762445a7187fe17ee8c5e56,بحوث دينية,Religious Research
6762445a7187fe17ee8c5e5a,دراسات دينية,Religious Studies
6762445a7187fe17ee8c5e5e,مناسبات دينية,Religious occasions
6762445a7187fe17ee8c5e62,فريق بحث المكتب الديني,Research Team of the Religious Office
6762445a7187fe17ee8c5e66,مقالات دينية,Religious Articles
6762447e7187fe17ee8c5e6a,بيانات المكتب السياسي,press release of Political office
6762447e7187fe17ee8c5e6e,بحوث سياسية,Political Research
6762447e7187fe17ee8c5e72,دراسات سياسية,Political Studies
6762447e7187fe17ee8c5e76,مقالات سياسية,Political Articles
6762447e7187fe17ee8c5e7a,فريق بحث المكتب السياسي,Research Team of the Political Office
676244a07187fe17ee8c5e7e,بيانات المكتب العلمي,press release of Scientific office
676244a07187fe17ee8c5e82,قسم بناء القدرة وتطوير الذات,Capacity Building and Self-Development Department
676244a07187fe17ee8c5e86,فريق بحث المكتب العلمي,Research Team of the Scientific Office
676244a07187fe17ee8c5e8a,قسم البحوث و الدراسات,Research and Studies Department
676244ba7187fe17ee8c5e8e,مشاريع تعليمية,Educational projects
676244ba7187fe17ee8c5e92,مشاريع إغاثية,Relief projects
676244ba7187fe17ee8c5e96,مشاريع طبية وإسعافية,Medical and Ambulance Projects
676244db7187fe17ee8c5e9a,بيانات مكتب شؤون الأسرة,press release of Family Affairs Office
676244db7187fe17ee8c5e9e,بحوث شؤون الأسرة,Family Affairs Research
676244db7187fe17ee8c5ea2,دراسات شؤون الأسرة,Family Affairs Studies
676244db7187fe17ee8c5ea6,مقالات شؤون الأسرة,Family Affairs Articles
676244db7187fe17ee8c5eaa,فريق بحث مكتب شؤون الأسرة,Research Team of the Family Affairs Office
676244db7187fe17ee8c5eae,قسم شؤون الأسرة,Family Affairs Department
676244db7187fe17ee8c5eb2,قسم شؤون الشباب,Youth Affairs Department
676244db7187fe17ee8c5eb6,قسم شؤون المرأة,Department of Women's Affairs
676244fa7187fe17ee8c5eba,رئيس التيار,president SFM
678933e23f1b329ad85e698b,التيار ومواقع أخرى,The SFM and other sites
678933e23f1b329ad85e698f,تصاميم التيار,SFM's Designs
678933e23f1b329ad85e6993,ريلز التيار,The SFM's Reels
678935af3f1b329ad85e6997,رابطة علماء ومثقفي الجزيرة,Association of Scholars and Intellectuals of Al-Jazira
67a63f584ebad2998c103225,بيانات المكتب الإعلامي,Press Releases of Media Office
67c0d77b374f7a522f5ffeac,كُتب شكر,Letters of Appreciation
67c0da5ae053d86f7e417879,كتب ( صادر / وارد ),Letters ( Issued / Received )
67c0dae5e053d849f2417885,ضيوف التيار,Guests of The SFM
67c0dba3e053d8206e41788f,أنشطة رئيس التيار,Activities president sfm
67c0dd7ce053d8e7bc41789b,قرارات / تكليف,Decisions / Assignments
67c0ddd7e053d825054178a5,مقال / تصريح,Article / Statement
67c0de80e053d8a0ff4178b1,تهنئة رسمية,Official congratulations
67c0dee7e053d86a9d4178bb,دعوات رسمية,Official Invitations
67cb4ecef461b013f60bc63c,ورش عمل / مؤتمرات,Workshops / Conferences
